Date,Price,Open,High,Low
11/28/2022,394.92,395.05,397.46,393.52
11/29/2022,394.12,395.92,397.46,393.56
11/30/2022,394.12,395.12,401.6,393.56
12/1/2022,394.35,395.12,397.17,393.56
12/2/2022,393,395.35,397.17,393.6
12/5/2022,394.91,395.2,397.45,393.6
12/6/2022,394.59,395.91,397.45,393.8
12/7/2022,394.72,395.59,397.36,393.8
12/8/2022,394.15,395.72,397.36,393.58
12/9/2022,395.88,395.15,397.15,393
12/12/2022,394.53,395.3,397.27,393.9
12/13/2022,395.75,395.53,397.27,393.04
12/14/2022,393.13,395.75,397.04,392.57
12/15/2022,393.26,394.13,396.75,393.19
12/16/2022,393.45,394.26,396.02,393.63
12/19/2022,393.29,394.45,396.73,392.64
12/20/2022,392.73,394.29,396.64,392.32
12/21/2022,392.97,394.5,396.48,392.42
12/22/2022,393.07,393.97,395.04,392.54
12/23/2022,392.81,394.07,396.54,392.36
12/26/2022,391,393.81,394.55,392.45
12/27/2022,392.6,393.81,394.9,392.35
12/28/2022,392.27,393.6,394.8,392.23
12/29/2022,392.41,393.27,394.7,392.14
12/30/2022,392,393.41,394.79,392.36
1/2/2023,392.57,393.57,393.57,393.57
1/3/2023,393.69,393.57,395.35,391.89
1/4/2023,393.49,394.69,396.85,392.55
1/5/2023,396,394,396.88,392.7
1/6/2023,396,396,396.89,393.38
1/9/2023,393.93,394.78,396.96,393.19
1/10/2023,395.52,394.93,397.07,392.96
1/11/2023,396.5,395.52,397.48,393
1/12/2023,396,396.5,397.65,393
1/13/2023,396,396,397.78,394
1/16/2023,396,396,397.78,394.78
1/17/2023,396.5,396,397.92,394.5
1/18/2023,396.02,396.5,397.92,394
1/19/2023,395.75,396.02,397.68,394
1/20/2023,395.77,395.75,397.68,394.38
1/23/2023,395.64,395.77,397.83,394
1/24/2023,395.5,395.64,397.83,394
1/25/2023,395.02,395.5,397.7,394
1/26/2023,394.65,396.02,397.51,394.39
1/27/2023,396.13,395.65,397.51,394.33
1/30/2023,396.13,396.13,397.51,393.94
1/31/2023,396.25,396.13,397.44,393.83
2/1/2023,396.25,396.25,397.37,394.33
2/2/2023,396.63,396.25,397.62,394.62
2/3/2023,396.63,396.63,397.74,394.52
2/6/2023,396.63,396.48,397.81,394.49
2/7/2023,396.63,396.63,397.81,393.8
2/8/2023,396.75,396.63,397.45,394.04
2/9/2023,395.75,396.75,397.46,393.95
2/10/2023,396.25,395.75,397.46,393.47
2/13/2023,395.88,395.75,397.12,393.14
2/14/2023,395.5,395.88,396.85,393.05
2/15/2023,395.5,395.5,396.55,392.7
2/16/2023,392.52,395.5,396.26,392.65
2/17/2023,391.89,393.52,394.51,391.99
2/20/2023,391.89,392.89,394.39,392.24
2/21/2023,390.68,392.89,394.3,391.34
2/22/2023,389.48,391.68,392.34,390.24
2/23/2023,389,390.48,393.2,390.04
2/24/2023,388.42,390.08,392.9,389.21
2/27/2023,388.06,389.42,392.6,389.03
2/28/2023,388.3,389.06,390.17,388.53
3/1/2023,388.01,389.3,391.05,388.4
3/2/2023,387.95,389.01,390.7,387.98
3/3/2023,387.17,388.95,389.48,387.58
3/6/2023,387.49,388.17,390.45,387.14
3/7/2023,387.6,388.49,389.8,387.45
3/8/2023,387.6,388.6,389.8,388.3
3/9/2023,387.49,388.6,389.8,386.95
3/10/2023,387.18,388.49,390,386.94
3/13/2023,387.44,388.18,389.87,387.34
